#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 276501:5078 | 07/07/16 12:47:40 | 2543 | 2543 | 427158923.798  | 411670895.729 |
| 276502:5078 | 07/08/16 05:21:18 | 740  | 740  | 90678372.774   | 87951123.579  |
| 276525:5080 | 07/08/16 14:15:18 | 2786 | 2786 | 427358293.948  | 413058119.501 |
| 276527:5080 | 07/09/16 08:34:41 | 214  | 214  | 23836739.979   | 23093998.094  |
| 276528:5080 | 07/09/16 10:01:49 | 391  | 391  | 40594494.723   | 39543412.387  |
| 276542:5083 | 07/09/16 16:32:22 | 784  | 784  | 159488899.246  | 151715866.299 |
| 276543:5083 | 07/09/16 21:39:40 | 948  | 948  | 157667754.853  | 151987535.534 |
| 276544:5083 | 07/10/16 03:53:47 | 160  | 160  | 23528973.214   | 22599776.026  |
| 276545:5083 | 07/10/16 04:59:24 | 206  | 206  | 28356618.048   | 27386707.571  |
| 276581:5085 | 07/10/16 12:24:16 | 366  | 366  | 78780112.140   | 75636838.564  |
| 276582:5085 | 07/10/16 14:52:29 | 871  | 871  | 158962100.695  | 153540104.533 |
| 276583:5085 | 07/10/16 20:34:28 | 52   | 52   | 8477041.094    | 8046310.347   |
| 276584:5085 | 07/10/16 20:59:17 | 2    | 2    | 324354.078     | 177293.086    |
| 276585:5085 | 07/10/16 21:31:21 | 242  | 242  | 37401125.740   | 35841452.444  |
| 276586:5085 | 07/10/16 23:10:31 | 751  | 751  | 102906202.370  | 99526396.503  |
| 276587:5085 | 07/11/16 04:14:31 | 1006 | 1006 | 114887616.860  | 110778975.673 |
| 276653:5091 | 07/12/16 00:12:31 | 479  | 479  | 91709025.825   | 88382468.945  |
| 276655:5091 | 07/12/16 03:26:27 | 1105 | 1105 | 176130409.215  | 165414641.285 |
| 276659:5091 | 07/12/16 10:39:13 | 251  | 251  | 33639422.953   | 30782867.099  |
| 276775:5093 | 07/12/16 21:26:43 | 1164 | 1164 | 223502253.545  | 212273692.403 |
| 276776:5093 | 07/13/16 05:02:29 | 1823 | 1823 | 251525585.117  | 242982640.483 |
| 276794:5093 | 07/13/16 17:05:19 | 885  | 885  | 92205563.745   | 89856377.590  |
| 276807:5095 | 07/14/16 03:24:10 | 155  | 155  | 32957303.768   | 31086349.677  |
| 276808:5095 | 07/14/16 04:28:59 | 875  | 875  | 167947647.043  | 161488158.437 |
| 276810:5095 | 07/14/16 10:15:44 | 287  | 287  | 47916479.715   | 45897433.991  |
| 276811:5095 | 07/14/16 12:15:34 | 2562 | 2562 | 320406282.561  | 310487543.429 |
| 276831:5096 | 07/15/16 07:47:46 | 2634 | 2634 | 427027393.694  | 410764376.787 |
| 276834:5096 | 07/16/16 01:42:10 | 719  | 719  | 77843324.238   | 74848125.275  |
| 276870:5097 | 07/16/16 11:02:01 | 3403 | 3403 | 560640702.524  | 540129228.845 |
| 276935:5101 | 07/17/16 23:39:55 | 824  | 824  | 183276364.944  | 173603745.748 |
| 276940:5102 | 07/18/16 08:13:36 | 144  | 144  | 34629860.714   | 29286481.925  |
| 276946:5102 | 07/18/16 09:56:36 | 27   | 27   | 6290115.520    | 4336707.064   |
| 276947:5102 | 07/18/16 10:11:19 | 132  | 132  | 29899617.628   | 25099796.873  |
| 276948:5102 | 07/18/16 11:09:47 | 474  | 474  | 97616036.895   | 87808164.628  |
| 276950:5102 | 07/18/16 14:16:45 | 2353 | 2353 | 346207477.438  | 331497857.588 |
| 277069:5105 | 07/19/16 17:52:15 | 309  | 309  | 80242415.691   | 76657938.423  |
| 277070:5105 | 07/19/16 19:54:11 | 1058 | 1058 | 221707759.060  | 210451689.768 |
| 277071:5105 | 07/20/16 02:48:37 | 171  | 171  | 29929086.438   | 26936085.196  |
| 277072:5105 | 07/20/16 04:01:41 | 464  | 464  | 73335613.385   | 70776574.911  |
| 277073:5105 | 07/20/16 07:09:53 | 90   | 90   | 13469423.418   | 13057458.639  |
| 277076:5105 | 07/20/16 07:55:58 | 1033 | 1033 | 134445073.714  | 129281486.149 |
| 277087:5105 | 07/20/16 17:49:22 | 988  | 988  | 92009100.410   | 88851110.144  |
| 277094:5106 | 07/21/16 04:03:56 | 582  | 582  | 138859356.723  | 133263207.431 |
| 277096:5106 | 07/21/16 07:56:14 | 2085 | 2085 | 340993478.957  | 327953328.025 |
| 277112:5106 | 07/21/16 21:29:34 | 155  | 155  | 17750434.793   | 17121689.881  |
| 277126:5107 | 07/22/16 01:36:48 | 18   | 18   | 4533466.999    | 1998823.078   |
| 277127:5107 | 07/22/16 01:46:10 | 901  | 901  | 194970449.326  | 187422488.768 |
| 277148:5108 | 07/22/16 10:31:04 | 616  | 616  | 136644646.543  | 130748047.489 |
| 277166:5109 | 07/22/16 18:10:23 | 354  | 354  | 75911916.402   | 72119251.408  |
| 277168:5109 | 07/22/16 20:34:53 | 2219 | 2219 | 339094807.198  | 327113704.507 |
| 277180:5110 | 07/23/16 13:37:57 | 141  | 141  | 34288911.014   | 31814321.469  |
| 277194:5111 | 07/23/16 18:25:08 | 1938 | 1938 | 394634718.840  | 374946612.149 |
| 277305:5116 | 07/25/16 01:23:14 | 683  | 683  | 165983549.561  | 157055971.629 |
| 277420:5117 | 07/25/16 19:45:01 | 260  | 260  | 65813869.530   | 62154054.348  |
| 277981:5151 | 08/01/16 11:52:59 | 75   | 75   | 17852673.728   | 16608763.915  |
| 277991:5151 | 08/01/16 15:43:56 | 85   | 85   | 5067072.756    | 4812876.174   |
| 277992:5151 | 08/01/16 16:22:25 | 311  | 311  | 18029702.523   | 17132854.198  |
| 278017:5154 | 08/01/16 23:26:43 | 510  | 510  | 134004970.400  | 126940429.578 |
| 278018:5154 | 08/02/16 02:52:01 | 1156 | 1156 | 229688374.129  | 218737699.376 |
| 278167:5161 | 08/03/16 18:39:02 | 2167 | 2167 | 336513947.433  | 322540165.238 |
| 278175:5161 | 08/04/16 08:44:58 | 88   | 88   | 9549588.846    | 9310223.834   |
| 278193:5162 | 08/04/16 12:31:44 | 155  | 155  | 37013730.807   | 35218682.526  |
| 278239:5163 | 08/04/16 23:23:01 | 663  | 663  | 144591434.519  | 135887058.820 |
| 278240:5163 | 08/05/16 03:46:54 | 1300 | 1300 | 210211303.537  | 201809779.675 |
| 278273:5169 | 08/05/16 17:37:20 | 36   | 36   | 7323484.269    | 5972696.498   |
| 278274:5169 | 08/05/16 17:55:42 | 84   | 84   | 19707363.197   | 18367092.422  |
| 278288:5170 | 08/05/16 21:11:12 | 15   | 15   | 3804339.048    | 2924987.570   |
| 278289:5170 | 08/05/16 21:18:02 | 50   | 50   | 11180747.648   | 9633933.933   |
| 278290:5170 | 08/05/16 21:42:34 | 11   | 11   | 2663278.241    | 2466891.772   |
| 278308:5173 | 08/06/16 13:00:39 | 1740 | 1740 | 336198840.227  | 320154718.662 |
| 278310:5173 | 08/07/16 00:47:36 | 708  | 708  | 93871675.280   | 90876045.349  |
| 278315:5179 | 08/07/16 10:56:52 | 693  | 693  | 152675291.041  | 140246758.871 |
| 278345:5181 | 08/08/16 00:13:39 | 746  | 746  | 166625228.642  | 153133353.641 |
| 278346:5181 | 08/08/16 05:08:15 | 117  | 117  | 22699754.984   | 21608447.191  |
| 278349:5181 | 08/08/16 06:27:06 | 613  | 613  | 101604955.414  | 97121183.677  |
| 278366:5181 | 08/08/16 10:36:47 | 453  | 453  | 63268859.926   | 61039421.521  |
| 278406:5183 | 08/08/16 17:15:50 | 1597 | 1597 | 319946599.140  | 303619624.395 |
| 278509:5187 | 08/09/16 18:29:15 | 1467 | 1467 | 301128948.710  | 279389229.346 |
